58,0.832,1.3,0.832,1.3,0,0,20
59,0.858,1.3,0.858,1.3,0,0,20
60,0.884,1.3,0.884,1.3,0,0,20
61,0.91,1.3,0.91,1.3,0,0,20
62,0.936,1.3,0.936,1.3,0,0,20
63,0.962,1.3,0.962,1.3,0,0,20
64,0.988,1.3,0.988,1.3,0,0,20
65,1.014,1.3,1.014,1.3,0,0,20
66,1.04,1.3,1.04,1.3,0,0,20
67,1.069,1.471,1.063,1.128,-0.61,-0.61,20
68,1.101,1.591,1.083,1.009,-1.65,-1.65,20
69,1.133,1.606,1.103,0.994,-2.75,-2.75,20
70,1.166,1.623,1.122,0.977,-3.91,-3.91,20
71,1.199,1.641,1.141,0.959,-5.13,-5.13,20
72,1.232,1.66,1.16,0.939,-6.42,-6.42,20
73,1.265,1.681,1.178,0.919,-7.79,-7.79,20
74,1.3,1.703,1.196,0.897,-9.23,-9.23,20
75,1.334,1.726,1.214,0.874,-10.75,-10.75,20
76,1.369,1.75,1.231,0.85,-12.37,-12.37,20
77,1.405,1.776,1.247,0.824,-14.07,-14.07,20
78,1.441,1.803,1.263,0.797,-15.87,-15.87,20
79,1.477,1.83,1.279,0.77,-17.77,-17.77,20
80,1.514,1.859,1.294,0.741,-19.77,-19.77,20
81,1.552,1.888,1.308,0.712,-21.88,-21.88,20
82,1.59,1.917,1.321,0.683,-24.09,-24.09,20
83,1.629,1.945,1.335,0.655,-26.4,-26.4,20
84,1.669,1.972,1.347,0.628,-28.8,-28.8,20
85,1.709,1.998,1.359,0.602,-31.3,-31.3,20
86,1.749,2.02,1.371,0.579,-33.88,-33.88,20
87,1.79,2.04,1.382,0.56,-36.53,-36.53,20
88,1.831,2.055,1.393,0.544,-39.24,-39.24,20
89,1.872,2.066,1.403,0.534,-41.98,-41.98,20
90,1.914,2.072,1.414,0.528,-44.75,-44.75,20
91,1.955,2.072,1.425,0.528,-47.51,-47.51,20
92,1.997,2.067,1.435,0.533,-50.26,-50.26,20
93,2.038,2.057,1.446,0.543,-52.97,-52.97,20
